Blog	here	want	how	re	best	much	life	things	had	easy	has	right	old	people	support	time	love	working	so	years	didn	one	say	take	going	where	many	being	around	world	her	am	an	as	at	past	more	company	its	really	also	see	makes	d	be	by	into	up	us	ago	video	let	great	next	this	could	system	should	ve	site	off	web	become	does	problem	told	work	after	then	them	they	another	what	just	do	we	photo	night	post	way	was	change	live	can	still	not	now	year	than	online	only	these	media	real	read	using	t	business	your	lot	you	since	very	actually	during	won	probably	both	look	while	used	game	some	go	camera	started	including	him	need	based	she	i	well	twitter	home	he	even	new	ever	never	before	better	went	content	isn	don	m	said	three	if	make	down	me	did	making	sunday	may	talk	morning	thing	think	first	little	were	show	get	doesn	those	same	money	again	two	through	everyone	house	hard	idea	most	find	big	bit	google	back	from	ll	day	have	thought	like	about	but	every	would	phone	my	over	each	got	free	days	too	took	report	full	news	been	everything	who	no	when	today	trump	name	place	any	come	good	week	without	blog	or	there	all	design	might	friday	story	nothing	part	his	are	long	called	once	use	few	something	own	our	out	their	which	why	last	will	other	know	because	lead	made	book
mezzoblue	1	0	2	1	0	1	0	0	0	0	1	1	1	0	3	0	0	1	1	3	1	2	0	1	0	1	0	1	0	0	0	0	1	4	0	3	0	0	1	0	1	0	0	1	1	0	1	0	0	0	1	0	0	0	4	0	0	2	6	2	0	3	0	1	0	0	0	0	0	2	0	0	1	1	0	0	1	0	0	2	1	0	0	1	1	2	1	0	0	0	0	1	0	0	0	0	4	0	0	1	6	0	0	0	0	2	1	0	0	1	1	0	1	0	0	1	0	0	0	0	0	12	1	0	0	0	0	3	1	0	0	0	0	0	0	0	1	0	0	2	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	1	2	0	1	4	0	0	0	3	4	0	1	2	0	1	0	0	0	1	3	0	0	1	2	2	0	0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	2	0	0	1	1	0	1	1	2	0	1	0	0	1	0	0	0	1	0	0
Eschaton	1	3	3	2	0	1	1	8	5	1	4	2	1	22	0	2	1	0	6	0	1	6	0	3	3	2	2	1	2	2	0	1	7	10	8	0	5	0	0	5	3	4	0	1	12	10	3	4	2	0	0	0	1	0	10	4	3	4	4	0	1	1	1	4	0	2	1	2	6	16	16	0	10	7	10	11	0	2	0	2	5	0	1	9	1	18	1	3	6	0	10	7	3	1	0	1	17	0	10	3	10	1	4	3	1	2	2	0	3	1	2	1	9	1	1	0	1	2	0	2	0	23	4	0	0	8	5	4	2	2	2	5	3	0	3	5	1	2	0	10	3	1	3	2	0	1	2	0	3	3	8	1	1	4	0	5	2	1	2	1	0	2	1	1	1	0	3	2	1	3	1	0	1	12	3	3	5	0	6	5	20	5	4	0	2	1	0	1	1	2	4	0	0	0	4	4	3	14	2	5	1	2	1	0	1	2	5	0	3	0	11	13	9	0	3	3	4	0	1	4	21	2	0	1	0	1	2	1	3	5	2	9	3	1	5	2	3	6	0	3	1
ShoeMoney	9	3	21	19	8	3	4	1	3	2	5	2	1	15	0	5	0	1	3	6	2	11	0	5	8	1	4	4	1	2	0	0	5	7	6	0	6	0	3	2	1	4	0	1	15	4	8	2	1	0	14	1	5	2	10	2	0	3	7	1	1	3	0	2	2	0	1	1	4	0	9	0	17	7	13	25	0	0	1	5	7	0	0	17	3	7	1	5	8	4	3	3	3	0	0	4	19	11	32	2	57	0	0	0	0	3	1	0	1	3	1	2	13	1	0	3	0	0	7	0	0	18	3	0	0	1	5	7	2	1	4	1	0	2	2	6	4	1	3	12	5	4	2	1	3	0	0	1	0	2	5	4	0	1	0	5	1	2	0	11	1	1	0	3	0	3	1	7	6	0	2	4	1	3	2	1	8	0	10	11	10	2	0	0	9	8	0	1	0	0	0	0	0	2	0	1	1	1	4	6	5	0	4	2	2	1	2	1	3	6	8	12	12	0	1	0	5	3	0	0	23	0	0	2	7	3	2	4	4	11	6	0	8	2	4	1	8	4	0	2	0
NB Blog Feed	0	0	6	7	3	3	0	0	1	0	14	3	1	6	2	7	0	2	5	4	3	12	2	1	4	2	4	6	1	2	11	1	11	26	10	3	5	2	3	2	3	5	2	4	12	16	8	6	0	1	0	1	2	2	19	7	0	1	0	0	3	0	0	0	2	0	2	8	6	5	11	2	1	6	2	10	2	5	8	3	23	0	1	4	1	15	6	2	2	0	3	2	16	3	0	0	13	1	4	4	10	2	4	2	6	3	0	1	1	3	1	1	3	2	0	1	2	8	1	1	8	0	0	0	0	23	2	13	1	1	0	0	1	3	2	3	0	7	3	4	5	3	0	3	0	6	0	3	8	1	4	3	1	7	16	5	0	1	2	1	1	5	2	0	0	3	1	3	2	0	1	0	3	16	0	1	17	1	10	14	12	2	5	0	1	7	1	3	4	3	3	9	2	0	9	7	1	9	11	7	3	34	1	1	3	4	6	8	2	0	4	10	2	0	2	8	1	4	1	17	13	0	2	2	1	2	2	2	0	9	10	5	0	6	4	2	1	4	0	4	2
Matt Cutts: Gadgets, Google, and SEO	1	0	0	1	1	0	0	0	0	1	3	0	0	4	1	2	0	0	2	2	0	2	1	0	0	0	1	0	0	1	2	0	1	3	2	0	2	0	0	0	2	1	0	1	0	0	0	2	7	1	0	0	2	0	4	0	0	1	3	0	0	1	0	1	1	0	3	1	0	2	2	0	1	3	4	2	0	0	0	2	3	0	0	2	1	1	0	4	0	0	0	1	0	0	1	0	4	0	2	1	12	0	0	0	0	0	0	0	0	2	0	0	3	2	0	1	0	0	1	0	0	22	0	0	0	4	0	0	0	0	0	1	2	0	0	0	0	0	1	1	2	1	1	0	1	1	0	1	0	1	0	0	3	0	0	3	0	0	0	4	0	0	1	0	0	1	0	0	0	0	1	7	0	4	0	0	1	0	3	9	4	1	1	0	5	1	1	1	0	0	1	3	1	0	1	1	0	1	0	1	1	0	0	0	0	0	1	2	0	1	3	0	0	0	1	0	0	0	1	0	2	0	3	0	0	1	1	0	0	1	2	0	0	4	0	0	1	1	0	0	0
Gothamist	2	0	3	2	1	0	2	1	5	0	16	4	1	5	1	4	0	1	2	4	0	7	2	2	1	5	2	4	4	3	3	0	8	12	15	2	48	3	4	1	3	2	1	1	4	11	2	4	1	0	5	0	1	1	18	0	2	4	4	0	3	0	0	1	0	1	1	7	0	4	9	1	6	4	4	11	0	2	2	2	8	2	0	5	1	11	4	2	2	0	2	1	5	0	0	1	7	1	4	1	7	3	1	2	6	0	0	0	0	2	1	1	7	2	0	0	2	2	0	0	5	4	1	1	0	12	5	29	0	2	0	1	1	0	2	0	2	1	2	1	1	0	0	1	0	0	1	2	1	2	0	1	2	4	3	1	1	3	0	0	2	5	1	1	2	0	1	0	0	2	0	0	1	13	2	3	9	1	3	9	8	0	1	1	1	4	1	0	1	3	0	0	2	1	1	9	0	17	6	2	8	4	3	0	0	1	2	8	1	0	6	6	6	0	1	4	1	2	1	11	9	5	2	1	1	1	2	0	3	7	6	8	1	4	8	2	0	7	0	0	2
Lifehack - Feed	0	0	10	1	1	1	6	5	0	0	0	0	1	2	0	2	0	0	2	0	0	3	0	1	1	0	1	1	3	2	0	1	4	1	5	0	11	1	1	0	1	0	1	2	3	3	1	3	3	0	0	0	0	0	2	1	0	1	2	0	0	0	1	2	0	0	5	0	2	1	0	0	0	1	6	6	0	0	0	1	0	3	1	5	0	3	0	0	1	0	2	1	0	0	10	0	2	3	4	0	14	0	2	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	8	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	1	2	1	1	1	0	1	0	0	0	0	2	0	1	0	0	0	0	3	0	0	0	0	1	1	0	0	2	2	1	2	3	1	0	0	1	1	0	0	0	0	2	0	1	0	2	0	0	0	1	4	2	0	0	0	1	1	3	0	0	0	4	1	1	0	0	0	0	0	0	0	6	1	0	0	0	1	1	1	3	0	1	0	1	0	1	0	0	0	2	0	0
BuzzMachine	2	0	0	0	0	0	0	0	2	0	2	2	1	0	0	0	0	1	4	0	0	1	0	0	0	4	1	1	1	2	2	3	6	6	5	0	3	1	1	0	0	4	1	1	6	6	1	2	1	0	1	0	0	0	5	1	0	4	3	0	0	0	0	0	5	0	1	1	2	1	3	0	5	6	3	10	0	0	15	1	1	0	0	2	0	4	1	1	1	0	0	1	8	0	0	1	1	0	1	1	9	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	22	0	1	0	1	1	3	5	1	0	0	0	0	0	0	4	1	1	1	1	0	2	1	0	0	0	1	0	0	3	15	0	0	0	1	0	0	0	1	1	0	0	2	1	0	0	2	0	0	0	0	0	4	1	0	5	0	1	5	1	1	1	0	3	0	0	0	0	1	0	1	0	0	4	1	0	7	5	0	2	5	0	1	0	0	0	1	2	0	1	2	1	0	1	1	4	0	0	9	5	1	1	0	0	0	0	0	2	0	0	1	0	2	2	3	0	1	0	1	1
Techdirt.	21	11	29	18	17	21	8	10	31	2	55	20	3	45	6	20	0	4	63	20	4	48	10	30	20	16	26	19	13	6	11	6	105	117	65	8	66	31	43	6	29	20	4	17	114	135	22	46	21	3	13	12	4	8	171	23	18	27	18	2	11	9	6	15	12	7	20	21	29	33	78	17	25	28	39	81	11	1	40	18	90	2	2	42	14	95	22	19	23	7	31	42	21	14	2	10	106	7	31	9	89	16	20	12	8	0	11	18	9	28	10	29	32	17	0	3	4	11	19	13	8	187	15	13	13	37	34	37	9	14	14	8	9	11	14	17	13	28	12	68	32	25	19	18	10	0	23	3	0	9	25	31	5	44	2	17	14	24	18	24	18	25	5	2	5	4	1	31	13	10	4	30	16	105	12	8	102	3	47	83	77	9	29	10	58	25	4	8	13	7	11	9	5	4	6	48	2	41	31	28	6	8	12	18	27	4	13	15	12	9	96	63	68	2	18	0	28	5	8	39	101	6	2	7	33	19	11	20	29	47	84	45	11	20	76	36	11	30	8	21	4
ongoing by Tim Bray	3	4	2	5	2	1	0	2	2	0	2	0	1	2	0	3	0	2	5	0	0	5	0	0	3	3	1	0	0	0	0	0	3	5	6	1	5	0	1	1	0	1	0	4	10	0	1	3	1	0	0	3	0	2	7	1	1	5	1	0	1	1	0	0	0	0	2	1	3	5	3	0	11	0	2	13	0	0	2	1	5	0	0	6	2	6	0	2	3	1	1	2	0	1	0	0	6	1	3	4	12	1	0	0	0	0	0	0	1	1	0	0	3	5	0	0	0	0	1	1	2	41	4	0	0	0	2	4	1	1	0	1	2	0	1	1	3	5	1	4	1	1	2	1	0	0	1	1	0	2	4	3	1	3	0	3	2	2	0	2	0	3	1	1	0	1	2	0	0	1	2	2	1	4	1	2	2	0	1	9	10	2	1	0	4	3	0	2	0	2	1	2	1	1	0	0	2	1	2	9	3	0	1	0	0	1	1	0	2	3	5	6	7	1	3	0	1	0	1	1	5	1	1	0	0	1	0	1	1	2	0	7	1	0	4	1	5	2	0	0	0
Neil Gaiman's Journal	41	16	23	16	9	32	10	60	57	2	23	11	12	52	4	44	26	6	65	30	11	49	4	13	27	28	17	10	6	26	16	24	36	60	73	1	42	1	6	20	13	26	7	25	116	78	20	45	29	36	7	10	8	17	85	29	0	12	33	0	11	0	4	5	0	11	25	15	34	59	59	11	37	24	39	79	9	11	8	14	155	6	6	49	15	59	30	53	19	3	25	15	2	4	36	3	70	1	23	15	204	7	21	10	5	5	7	6	8	12	3	0	42	23	0	12	5	30	15	3	20	484	8	2	5	79	34	49	12	12	18	7	26	1	10	17	55	19	10	65	36	8	85	24	8	2	9	11	5	20	9	26	9	31	7	34	2	6	9	18	10	25	11	8	4	8	6	15	16	8	15	2	22	66	16	12	76	10	48	62	64	2	40	2	94	24	14	22	4	28	26	12	0	2	3	32	9	54	12	38	4	0	4	6	12	7	31	6	9	12	75	65	54	4	4	0	9	6	8	43	73	17	10	5	1	17	28	10	11	56	20	32	7	23	68	22	10	39	0	19	58
456 Berea Street	2	1	4	0	1	0	0	1	1	1	3	0	0	3	1	0	0	1	6	1	1	3	0	1	1	1	4	2	0	0	0	0	4	5	4	0	2	0	7	3	1	4	0	3	6	3	1	2	0	2	0	0	1	0	4	1	0	0	3	2	0	4	0	0	3	0	1	3	1	2	1	0	2	1	5	2	0	0	4	1	6	1	0	6	0	4	1	0	6	0	1	1	0	0	10	3	11	0	1	1	8	2	1	1	0	1	0	1	6	2	2	0	5	1	0	0	0	0	3	0	0	30	4	0	0	0	3	0	2	1	2	0	0	1	3	4	0	0	1	4	5	4	2	0	2	0	5	0	0	0	3	0	1	3	0	2	1	1	1	0	1	1	1	0	0	0	0	3	1	0	2	0	0	4	0	0	8	2	3	2	9	2	0	0	3	4	2	0	0	0	2	0	2	12	1	3	0	1	2	7	0	0	0	0	3	1	1	0	1	0	9	6	3	2	0	0	0	0	1	0	6	1	0	0	9	0	0	1	0	1	3	4	2	0	5	0	0	1	0	0	0
Joel on Software	1	2	1	1	0	0	0	0	1	0	1	0	0	0	0	2	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	11	3	0	0	0	0	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0	1	1	2	0	0	0	1	1	0	1	1	0	0	0	0	1	0	1	1	0	0	0	1	4	0	0	0	0	2	1	1	1	0	0	0	0	0	10	0	0	0	3	0	6	1	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	6	0	1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	2	1	0	0	0	1	0	0	0	3	0	1	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0
Boing Boing	3	7	12	7	1	3	1	0	21	2	22	1	2	12	3	4	0	2	10	6	3	14	3	2	6	10	4	6	2	3	34	9	26	25	17	1	13	15	11	5	14	2	1	4	13	37	8	11	7	2	6	2	1	8	36	11	6	3	1	0	3	4	2	2	2	6	11	7	5	9	25	0	13	8	2	10	0	0	11	4	45	0	1	6	2	21	10	4	9	4	9	9	3	5	29	3	23	5	15	2	24	3	1	6	0	1	0	4	2	4	4	4	6	3	2	0	3	10	4	2	33	27	2	1	3	27	9	12	3	2	6	3	2	1	0	7	6	16	3	16	7	9	7	0	2	0	0	2	1	3	1	4	1	14	2	6	3	5	1	2	0	7	2	2	2	1	9	2	0	9	3	1	6	30	6	3	20	1	14	18	20	6	8	1	6	10	2	4	3	1	1	2	14	2	8	8	2	20	12	16	4	5	1	1	9	0	3	9	3	1	10	12	12	2	2	3	4	0	4	18	23	4	6	2	7	2	1	4	0	10	17	11	4	3	19	5	3	4	1	1	2
Wired	1	1	5	0	6	0	0	0	0	1	4	0	0	0	0	2	0	2	3	0	0	5	2	0	0	1	1	0	0	1	1	0	3	2	5	0	7	3	3	0	1	0	2	0	2	2	0	1	1	0	1	0	1	0	9	1	0	1	1	0	0	0	0	0	1	0	2	1	0	1	0	0	2	0	1	4	0	1	0	0	5	0	0	1	1	8	1	0	0	2	2	1	0	1	0	0	4	0	3	1	3	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1	0	1	0	2	0	1	3	0	1	0	7	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0	0	0	1	1	2	0	0	0	1	0	0	0	2	0	4	0	1	2	0	1	0	9	1	0	4	0	1	0	1	0	0	1	0	0	1	5	1	0	0	2	2	0	6	0	0	1	0	2	9	0	0	4	1	2	1	0	0	0	0	0	1	5	0	0	0	2	0	0	1	3	3	0	2	1	1	2	1	1	0	0	1	0
WIL WHEATON dot NET	7	5	5	5	8	8	11	7	11	0	5	4	1	3	1	10	8	4	24	6	3	7	4	3	7	3	0	6	2	3	0	4	11	11	14	0	7	0	4	6	5	4	2	7	26	5	9	16	2	3	0	3	1	3	30	4	0	6	11	0	1	0	1	1	0	3	11	3	4	12	17	6	7	18	8	22	1	6	2	6	27	0	1	12	2	14	12	0	6	1	4	5	1	1	0	1	31	1	10	2	28	3	5	0	3	0	3	0	1	4	3	3	4	6	2	1	2	2	1	2	0	174	4	0	0	3	7	2	2	2	5	7	2	0	5	6	21	1	0	10	4	4	53	3	7	0	1	1	3	3	1	3	5	6	4	12	4	2	0	0	1	0	1	6	1	1	2	5	3	8	3	0	8	14	7	8	21	2	30	10	24	5	6	0	59	2	0	4	0	9	3	2	0	0	0	14	1	19	6	14	3	0	0	2	4	4	8	5	2	1	13	16	22	0	0	0	0	2	11	4	13	6	4	0	2	7	9	2	1	13	8	1	1	5	16	6	11	11	0	8	0
